lr-SGD,step,train_loss,epoch,val_loss,val_acc,test_loss,test_acc
0.021623913412590276,14799,,,,,,
,14799,173.63882446289062,94,,,,
0.02173525101326612,14849,,,,,,
,14849,175.29917907714844,94,,,,
0.021846859554764078,14899,,,,,,
,14899,174.50735473632812,94,,,,
,14914,,94,174.20376586914062,0.5752000212669373,,
0.021958738037924683,14949,,,,,,
,14949,173.80825805664062,95,,,,
0.02207088546117185,14999,,,,,,
,14999,173.1345977783203,95,,,,
0.022183300820521903,15049,,,,,,
,15049,173.9005126953125,95,,,,
,15071,,95,176.9047088623047,0.5424000024795532,,
0.02229598310959245,15099,,,,,,
,15099,173.93109130859375,96,,,,
0.02240893131961147,15149,,,,,,
,15149,174.0594024658203,96,,,,
0.022522144439426323,15199,,,,,,
,15199,173.73507690429688,96,,,,
,15228,,96,173.90573120117188,0.5810999870300293,,
0.022635621455512803,15249,,,,,,
,15249,172.0493927001953,97,,,,
0.0227493613519842,15299,,,,,,
,15299,173.94479370117188,97,,,,
0.02286336311060043,15349,,,,,,
,15349,173.80551147460938,97,,,,
,15385,,97,173.1761474609375,0.6079999804496765,,
0.02297762571077709,15399,,,,,,
,15399,173.20367431640625,98,,,,
0.02309214812959466,15449,,,,,,
,15449,172.49874877929688,98,,,,
0.02320692934180764,15499,,,,,,
,15499,173.14968872070312,98,,,,
,15542,,98,173.60084533691406,0.605400025844574,,
0.023321968319853656,15549,,,,,,
,15549,173.10836791992188,99,,,,
0.023437264033862787,15599,,,,,,
,15599,171.72247314453125,99,,,,
0.02355281545166671,15649,,,,,,
